x,Q2,G1p,dG1p(stat),dG1p(sys),F1p,A1p,dA1p(stat),dA1p(sys),G1d,dG1d(stat),dG1d(sys),F1d,A1d,dA1d(stat),dA1d(sys),G1n,dG1n(stat),dG1n(sys),F1n,dF1n(tot),g1/F1n,dg1/F1n(stat),dg1/F1n(sys)
0.0046,1.23,0.604,0.4306,0.1877,35.5314,0.017,0.012,0.005,-0.2988,-0.4095,-0.2656,55.3319,-0.0054,-0.0074,-0.0048,-0.8777,0.5711,0.3073,32.9568,6.5515,-0.0266,-0.0181,0.0093
0.0055,1.39,0.6311,0.3834,0.1688,31.5541,0.02,0.012,0.005,0.0149,0.289,0.2142,49.8228,0.0003,0.0058,0.0043,-0.6174,0.4659,0.2588,29.397,5.3336,-0.021,-0.0163,0.0088
0.007,1.61,0.6276,0.2457,0.1194,25.7219,0.0244,0.0093,0.0041,-0.0457,-0.1743,-0.0955,41.5086,-0.0011,-0.0042,-0.0023,-0.6694,0.293,0.148,24.1034,3.8143,-0.0278,-0.0129,0.0061
0.009,1.91,0.3985,0.2122,0.1298,20.9747,0.019,0.01,0.006,-0.3105,-0.1749,-0.1107,35.691,-0.0087,-0.0049,-0.0031,-0.6829,0.2659,0.1648,19.7808,2.5764,-0.0345,-0.0142,0.0083
0.0154,3.03,0.9355,0.1333,0.0992,13.0114,0.0719,0.0091,0.006,-0.0312,-0.0908,-0.0681,28.3655,-0.0011,-0.0032,-0.0024,-0.9641,0.1571,0.1172,14.1063,1.1435,-0.0683,-0.0124,0.0083
0.0244,4.11,0.7404,0.0972,0.0698,9.3966,0.0788,0.0097,0.0065,0.1295,0.0829,0.0587,17.2614,0.0075,0.0048,0.0034,-0.6219,0.1233,0.0881,8.9136,0.5561,-0.0698,-0.0145,0.0099
0.0346,5.6,0.5827,0.0887,0.0695,6.6214,0.088,0.013,0.01,0.1175,0.0792,0.052,12.3728,0.0095,0.0064,0.0042,-0.475,0.1146,0.0843,6.2306,0.3142,-0.0762,-0.0188,0.0135
0.0488,7.64,0.5526,0.0652,0.0467,4.8477,0.114,0.013,0.009,0.1453,0.0576,0.0402,9.1398,0.0159,0.0063,0.0044,-0.4195,0.0839,0.0595,4.502,0.1806,-0.0932,-0.019,0.0132
0.0767,11.7,0.5015,0.0439,0.041,3.021,0.166,0.014,0.013,0.2985,0.0397,0.0408,5.6636,0.0527,0.007,0.0072,-0.2281,0.0572,0.0557,2.7028,0.0826,-0.0844,-0.0213,0.0206
0.1215,18.0,0.4471,0.0332,0.0332,1.6937,0.264,0.019,0.019,0.2904,0.0306,0.0337,3.057,0.095,0.01,0.011,-0.1811,0.0436,0.0455,1.3868,0.0384,-0.1306,-0.0317,0.0328
0.1715,24.8,0.3325,0.0288,0.0257,1.0455,0.318,0.027,0.024,0.2394,0.0297,0.0317,1.9782,0.121,0.015,0.016,-0.1132,0.0398,0.0389,0.8544,0.0226,-0.1325,-0.0467,0.0456
0.2225,31.3,0.2414,0.026,0.0218,0.7162,0.337,0.036,0.03,0.1926,0.0265,0.0241,1.2039,0.16,0.022,0.02,-0.0649,0.0357,0.0311,0.4861,0.0133,-0.1336,-0.0735,0.064
0.291,39.5,0.1754,0.0169,0.0133,0.4509,0.389,0.037,0.029,0.1407,0.017,0.0163,0.7404,0.19,0.023,0.022,-0.0465,0.0231,0.0201,0.28,0.0079,-0.1662,-0.0825,0.0718
0.406,52.0,0.0994,0.0114,0.0106,0.2053,0.484,0.055,0.051,0.104,0.0121,0.0118,0.3279,0.317,0.037,0.036,-0.0041,0.016,0.0152,0.1136,0.0041,-0.0363,-0.141,0.1341
0.5685,67.4,0.0314,0.0049,0.004,0.0429,0.73,0.11,0.09,0.0323,0.0054,0.0055,0.0654,0.494,0.082,0.084,-0.0017,0.0069,0.0065,0.0205,0.0022,-0.0852,-0.3389,0.3162
