x,Q2,g1,dg1(stat),dg1(sys),F1,dF1(tot),A1,dA1(stat),dA1(sys),dg1(tot),dA1(tot)
0.0046,1.23,-0.3138,-0.4301,-0.279,58.1179,1.1435,-0.0054,-0.0074,-0.0048,0.5127,0.0088
0.0055,1.39,0.0144,0.2785,0.2065,48.0197,0.8649,0.0003,0.0058,0.0043,0.3467,0.0072
0.007,1.61,-0.0397,-0.1515,-0.083,36.0712,0.5931,-0.0011,-0.0042,-0.0023,0.1727,0.0048
0.009,1.91,-0.2328,-0.1312,-0.083,26.7595,0.4147,-0.0087,-0.0049,-0.0031,0.1552,0.0058
0.0154,3.03,-0.0192,-0.0557,-0.0418,17.4127,0.2376,-0.0011,-0.0032,-0.0024,0.0696,0.004
0.0244,4.11,0.09,0.0576,0.0408,12.0056,0.152,0.0075,0.0048,0.0034,0.0706,0.0059
0.0346,5.6,0.0881,0.0594,0.039,9.2772,0.1001,0.0095,0.0064,0.0042,0.0711,0.0077
0.0488,7.64,0.1115,0.0442,0.0309,7.0107,0.0636,0.0159,0.0063,0.0044,0.0539,0.0077
0.0767,11.7,0.2415,0.0321,0.0331,4.5828,0.0378,0.0527,0.007,0.0072,0.0461,0.01
0.1215,18.0,0.2621,0.0277,0.0304,2.7591,0.0216,0.095,0.01,0.011,0.0411,0.0149
0.1715,24.8,0.215,0.0267,0.0285,1.7772,0.0136,0.121,0.015,0.016,0.0391,0.0219
0.2225,31.3,0.194,0.0267,0.0243,1.2122,0.0094,0.16,0.022,0.02,0.0361,0.0297
0.291,39.5,0.1427,0.0173,0.0166,0.7509,0.0059,0.19,0.023,0.0221,0.024,0.0319
0.406,52.0,0.1061,0.0124,0.0121,0.3346,0.0028,0.317,0.0371,0.0361,0.0173,0.0518
0.5685,67.4,0.0442,0.0074,0.0075,0.0895,0.0011,0.494,0.0822,0.0842,0.0105,0.1177
