Q2,x,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
1.22,0.015,-0.234,0.115,0.011,0.1155,-0.033,0.016,0.001,0.016
1.59,0.025,0.051,0.068,0.006,0.0683,0.011,0.014,0.001,0.014
2.05,0.035,0.059,0.052,0.005,0.0522,0.016,0.014,0.001,0.014
2.57,0.05,0.082,0.041,0.004,0.0412,0.03,0.015,0.002,0.0151
3.24,0.08,0.103,0.028,0.005,0.0284,0.059,0.016,0.003,0.0163
4.03,0.125,0.089,0.024,0.006,0.0247,0.079,0.021,0.005,0.0216
4.62,0.175,0.083,0.032,0.006,0.0326,0.107,0.041,0.008,0.0418
5.06,0.25,0.096,0.021,0.006,0.0218,0.192,0.042,0.012,0.0437
5.51,0.35,0.086,0.028,0.005,0.0284,0.301,0.098,0.017,0.0995
5.77,0.5,0.047,0.016,0.003,0.0163,0.389,0.129,0.024,0.1312
4.0,0.05,-0.787,0.504,0.006,0.504,-0.266,0.17,0.002,0.17
5.37,0.08,0.012,0.038,0.006,0.0385,0.006,0.02,0.003,0.0202
7.16,0.125,0.094,0.016,0.006,0.0171,0.079,0.014,0.005,0.0149
8.9,0.175,0.08,0.018,0.006,0.019,0.099,0.022,0.008,0.0234
10.62,0.25,0.09,0.01,0.006,0.0117,0.184,0.02,0.012,0.0233
12.59,0.35,0.081,0.012,0.005,0.013,0.305,0.044,0.017,0.0472
14.01,0.5,0.034,0.006,0.002,0.0063,0.349,0.057,0.025,0.0622
15.73,0.75,0.006,0.002,0.001,0.0022,0.576,0.22,0.029,0.2219
10.98,0.125,-0.025,0.117,0.008,0.1173,-0.02,0.095,0.006,0.0952
13.19,0.175,0.127,0.034,0.007,0.0347,0.157,0.042,0.008,0.0428
17.22,0.25,0.094,0.013,0.006,0.0143,0.194,0.027,0.012,0.0295
22.65,0.35,0.077,0.013,0.005,0.0139,0.309,0.053,0.017,0.0557
26.97,0.5,0.028,0.008,0.002,0.0082,0.33,0.092,0.024,0.0951
34.79,0.75,0.003,0.007,0.001,0.0071,0.428,0.903,0.028,0.9034
