x,      Q2,    g1/F1(CJ15nlo),            g1/F1(CT18NNLO),              g1/F1(JAM22)       
0.0046, 1.23,  -0.0201 ± 0.0127 ± 0.0060, -0.0167 ± 0.0110 ± 0.0050,    -0.0191 ± 0.0121 ± 0.0057
0.0055, 1.39,  -0.0179 ± 0.0106 ± 0.0043, -0.0150 ± 0.0093 ± 0.0047,    -0.0185 ± 0.0110 ± 0.0047
0.007,  1.61,  -0.0217 ± 0.0084 ± 0.0043, -0.0184 ± 0.0077 ± 0.0037,    -0.0250 ± 0.0097 ± 0.0050
0.009,  1.91,  -0.0216 ± 0.0091 ± 0.0055, -0.0193 ± 0.0085 ± 0.0049,    -0.0290 ± 0.0123 ± 0.0074
0.0154, 3.03,  -0.0497 ± 0.0065 ± 0.0048, -0.0462 ± 0.0071 ± 0.0045,    -0.0769 ± 0.0101 ± 0.0076
0.0244, 4.11,  -0.0561 ± 0.0081 ± 0.0060, -0.0532 ± 0.0083 ± 0.0057,    -0.0822 ± 0.0119 ± 0.0089
0.0346, 5.6,   -0.0641 ± 0.0113 ± 0.0094, -0.0617 ± 0.0114 ± 0.0091,    -0.0868 ± 0.0154 ± 0.0128
0.0488, 7.64,  -0.0807 ± 0.0110 ± 0.0087, -0.0787 ± 0.0111 ± 0.0085,    -0.1068 ± 0.0145 ± 0.0116
0.0767, 11.7,  -0.1028 ± 0.0127 ± 0.0134, -0.1015 ± 0.0129 ± 0.0132,    -0.1286 ± 0.0160 ± 0.0168
0.1215, 18.0,  -0.1871 ± 0.0214 ± 0.0229, -0.1870 ± 0.0219 ± 0.0229,    -0.2086 ± 0.0239 ± 0.0257
0.1715, 24.8,  -0.2392 ± 0.0323 ± 0.0317, -0.2405 ± 0.0331 ± 0.0319,    -0.2678 ± 0.0363 ± 0.0356
0.2225, 31.3,  -0.4385 ± 0.0517 ± 0.0460, -0.4468 ± 0.0540 ± 0.0468,    -0.4332 ± 0.0512 ± 0.0457
0.291,  39.5,  -0.3322 ± 0.0637 ± 0.0532, -0.3442 ± 0.0667 ± 0.0551,    -0.3272 ± 0.0628 ± 0.0525
0.406,  52.0,  -0.3558 ± 0.1071 ± 0.0991, -0.3717 ± 0.1127 ± 0.1035,    -0.3502 ± 0.1055 ± 0.0977
0.5685, 67.4,  -0.8255 ± 1.9665 ± 0.3399, -0.7985 ± 1.9039 ± 0.3287,    -0.5833 ± 1.3897 ± 0.2408
